filename,label
1-50060-A-10.wav,rain
2-87781-A-10.wav,rain
3-157615-A-10.wav,rain
4-177250-A-10.wav,rain
1-63871-A-10.wav,rain
4-180380-A-10.wav,rain
4-166661-A-10.wav,rain
2-72970-A-10.wav,rain
1-28135-A-11.wav,sea_waves
3-144827-A-11.wav,sea_waves
1-43760-A-11.wav,sea_waves
2-102852-A-11.wav,sea_waves
3-187710-A-11.wav,sea_waves
5-219379-C-11.wav,sea_waves
1-39901-A-11.wav,sea_waves
1-91359-A-11.wav,sea_waves
1-64398-A-41.wav,chainsaw
3-118657-A-41.wav,chainsaw
2-50667-B-41.wav,chainsaw
2-50667-A-41.wav,chainsaw
5-216370-B-41.wav,chainsaw
5-185579-B-41.wav,chainsaw
5-185579-A-41.wav,chainsaw
4-165823-A-41.wav,chainsaw
2-37806-A-40.wav,helicopter
4-175000-C-40.wav,helicopter
5-191131-A-40.wav,helicopter
4-161579-A-40.wav,helicopter
2-188822-A-40.wav,helicopter
1-172649-F-40.wav,helicopter
1-172649-B-40.wav,helicopter
2-37806-C-40.wav,helicopter
